MONTH     INTEREST     BALANCE
1          20          1000          
2          19.507          975.35          
3          19.0041          950.207          
4          18.4912          924.561          
5          17.9681          898.403          
6          17.4344          871.721          
7          16.8901          844.505          
8          16.3349          816.745          
9          15.7686          788.43          
10          15.191          759.549          
11          14.6018          730.09          
12          14.0008          700.042          
13          13.3879          669.393          
14          12.7626          638.131          
15          12.1249          606.244          
16          11.4744          573.719          
17          10.8109          540.543          
18          10.1341          506.704          
19          9.44376          472.188          
20          8.73964          436.982          
21          8.02143          401.072          
22          7.28886          364.443          
23          6.54164          327.082          
24          5.77948          288.974          
25          5.00207          250.103          
26          4.20911          210.456          
27          3.4003          170.015          
28          2.5753          128.765          
29          1.73381          86.6905          
30          0.875489          43.7744          
31          0.892998          0          
